,num_rules,length,rule_coverage,set_coverage,ibs,cr,h,run_time
actg320,3.0,2.6666666666666665,0.18795250506805677,0.5047784535186794,0.0,0.49522154648132255,0.0,0.984366
breast-cancer,9.0,5.777777777777778,0.07709750566893424,0.12755102040816327,0.0,0.8724489795918368,0.0,16.487825
cancer,6.0,1.8333333333333333,0.12996031746031744,0.35714285714285715,0.0,0.6428571428571421,0.0,0.307772
carcinoma,5.0,1.6,0.3170984455958549,0.9585492227979274,0.0,0.3361102644857595,0.0,0.299033
gbsg2,7.0,1.7142857142857142,0.12536443148688048,0.4839650145772595,0.0,0.5160349854227438,0.0,0.586551
lung,6.0,1.3333333333333333,0.4224935257121717,1.0,0.0,0.3264557185924939,0.0,0.378697
melanoma,3.0,1.6666666666666667,0.2048780487804878,0.5707317073170731,0.0,0.4292682926829266,0.0,0.221419
mgus2,7.0,1.2857142857142858,0.17211189408498825,0.7376681614349776,0.0,0.3987693197876973,0.0,0.541284
mgus,7.0,2.0,0.1590909090909091,0.39204545454545453,0.0,0.6091141001855288,0.0,0.42717
pbc,8.0,2.125,0.28804347826086957,0.9420289855072463,0.0,0.5265244736122492,0.0,1.086575
ptc,4.0,6.75,0.05120481927710843,0.06927710843373494,0.0,0.9307228915662649,0.0,1.874761
uis,8.0,2.0,0.1426086956521739,0.4017391304347826,0.0,0.6077094379639437,0.0,0.700202
veteran,6.0,2.5,0.07785888077858881,0.2116788321167883,0.0,0.7883211678832117,0.0,0.307092
whas500,5.0,2.6,0.1696,0.242,0.0,0.7580000000000013,0.0,0.735932
